nomor_registrasi,nama_produk,merk,jenis_kemasan,ukuran_kemasan,produsen,kota_produsen,provinsi_produsen
MD 268313029029,Minuman Teh,Glitz,Gelas Plastik, (240ml),PT SUMBER TIRTA PAMENANG, Kota Kediri, Jawa Timur
MD 268313014046,Minuman Teh Melati (Original Tea),TEH GELAS,Gelas Plastik, (270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
ML 568309009270,Minuman Teh Hijau Aroma Melati,Yeos,Kaleng, (300ml),PT YHS INDONESIA, Kota Jakarta Pusat, DKI Jakarta
MD 268310010072,Minuman Teh Aroma Melati,Zegar,Gelas Plastik, (165ml; 185ml; 220ml; 270ml; 300ml),PT TANG MAS , Kota Depok, Jawa Barat
MD 268310004208,Minuman Teh Putih Rasa Leci,Fiesta,Botol Plastik, (450ml),PT HOKKAN INDONESIA, Kab. Bogor, Jawa Barat
MD 268311010253,Minuman Teh Putih Rasa Jeruk Yuzu, ,Botol Plastik, (350ml; 450ml; 485ml; 500ml),PT SAVORIA KREASI RASA, Kab. Kudus, Jawa Tengah
MD 268328002092,Minuman Teh Hijau Dengan Madu,ICHI OCHA,Botol Plastik, (350ml; 450ml; 500ml),PT ANUGERAH INDOFOOD BAROKAH MAKMUR, Kota Jakarta Selatan, DKI Jakarta
MD 268320009024,Minuman Teh Melati (Original Tea),TEH GELAS,Gelas Plastik, (270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310012045,Minuman Teh Hijau Rasa Leci (Lychee Green Tea Drink),Futami 17,Botol Plastik, (350ml; 485ml),PT FUTAMI FOOD & BEVERAGES, Kota Jakarta Utara, DKI Jakarta
MD 268310011045,Minuman Teh Hijau Rasa Persik (Peach Green Tea Drink),Futami 17,Botol Plastik, (350ml; 485ml),PT FUTAMI FOOD & BEVERAGES, Kota Jakarta Utara, DKI Jakarta
MD 268316001050,Minuman Teh Dalam Kemasan,TEE,Gelas Plastik, (180ml),UD. INTERFOOD, Kab. Tanah Laut, Kalimantan Selatan
MD 268310248047,Minuman Teh Rasa Stroberi,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310029208,Minuman Teh Hijau (Oi Ocha),OI OCHA,Botol Plastik, (300ml; 450ml; 500ml),PT HOKKAN INDONESIA, Kab. Bogor, Jawa Barat
MD 268331004041,Minuman Teh Melati (Original tea),Teh Gelas,Gelas Plastik, (270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310007045,Minuman Teh Hijau Rasa Madu,Futami 17,Botol Plastik, (485ml),PT FUTAMI FOOD & BEVERAGES, Kota Jakarta Utara, DKI Jakarta
MD 168310006047,Minuman Teh Rasa Blackcurrant,SOSRO,Botol Kaca, (235ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268311009509,MINUMAN TEH ,Teaandtea,Botol Plastik, (250ml; 330ml; 400ml; 540ml),CV MAJU SARI TEH, Kota Semarang, Jawa Tengah
MD 268310242047,Minuman Teh Rasa Apel,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310244047,Minuman Teh Rasa Blackcurrant,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310246047,Minuman Teh Rasa Stroberi Anggur,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310240047,Minuman Teh Rasa Apel - Blackcurrant,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310113243,Minuman Teh Melati (Original Tea) ,TEH GELAS,Botol Plastik, (250ml; 350ml; 400ml; 425ml; 500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310057047,Minuman Teh Rasa Blackcurrant,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
ML 268309229099,Minuman Teh Rasa Susu (afternoon milk tea),KIRIN,Plastik, (500ml),PT INDOMARU LESTARI, Kota Jakarta Barat, DKI Jakarta
MD 268313020401,Minuman Teh Hijau Susu Ala Thailand ,Ichitan ,Botol Plastik, (310ml) ,PT HON CHUAN INDONESIA, Kab. Bekasi, Jawa Barat
MD 268310003062,Minuman Teh Rasa Original,RIO,Plastik, (190ml; 200ml),PT TIRTA ALAM SEGAR, Kab. Bekasi, Jawa Barat
MD 468310161014,Minuman Teh Melati,SOSRO,Karton Laminat, (200ml; 250ml; 330ml; 1000ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 468310032338,Minuman Teh Thai Tea,Hilo,Karton Laminat, (200ml),PT NUTRIFOOD INDONESIA, Kota Jakarta Timur, DKI Jakarta
MD 268313027031,Minuman Teh Rasa Apel,MOUNTEA,Gelas Plastik, (170ml),PT TRITEGUH MANUNGGALSEJATI, Kota Tangerang, Banten
MD 268313023031,Minuman Teh Rasa Blackcurrant,MOUNTEA,Gelas Plastik, (170ml),PT TRITEGUH MANUNGGALSEJATI, Kota Tangerang, Banten
MD 268313025031,Minuman Teh Rasa Jambu,MOUNTEA,Gelas Plastik, (170ml),PT TRITEGUH MANUNGGALSEJATI, Kota Tangerang, Banten
MD 268328001092,Minuman Teh Hijau ,ICHI OCHA,Botol Plastik, (350ml. 450ml; 500ml),PT ANUGERAH INDOFOOD BAROKAH MAKMUR, Kota Jakarta Selatan, DKI Jakarta
MD 268310001243,Minuman Teh Melati (Original Tea),TEH GELAS,Botol Plastik, (250ml; 350ml; 400ml; 425ml; 500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 668310025015,Minuman Teh Rasa Blackcurrant (Fruit Tea Blackcurrant),SOSRO,Pouch Aluminium Foil, (230ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 668310024015,Minuman Teh Rasa Apel (Fruit Tea Apel),SOSRO,Pouch Aluminium Foil, (230ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268311001501,Minuman Teh Tarik dengan Jeli,Okeyren,Botol Plastik, (250ml),OKEYREN, Kab. Cilacap, Jawa Tengah
MD 268331020041,Minuman Teh Hijau Melati,Teh Gelas,Gelas Plastik, (270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310034033,Minuman Teh Hijau ,NU,Botol Plastik, (450ml),PT ABC President Indonesia, Kota Jakarta Selatan, DKI Jakarta
MD 268310024032,Minuman Teh Rasa Markisa,FRESTEA,Botol Plastik, (350ml; 500ml; 900ml),PT COCA-COLA BOTTLING INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268306015025,Minuman Teh Hijau Melati,Teh Gelas,Gelas Plastik, (270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
